-51755,-216991,126228
-51641,-217321,126341
-51733,-217811,126162
-51778,-218073,125703
-51960,-218257,125561
-52202,-218392,125439
-52603,-218292,125843
-52763,-218220,126111
-53287,-217939,126556
-53665,-217766,126156
-53978,-217189,126390
-54685,-217247,127078
-54981,-217207,128571
-55583,-216735,128187
-55394,-216399,126410
-55336,-216022,125471
-55290,-215842,125625
-55509,-215956,125692
-55420,-215794,125444
-55402,-215470,125052
-55804,-215066,124952
-55948,-215025,125658
-55917,-214998,126177
-55958,-214808,126870
-56071,-214525,127016
-56286,-214208,126783
-56051,-214005,126605
-55860,-213853,126403
-55515,-214087,126661
-55177,-214114,126919
-55030,-214262,126982
-54585,-214483,127526
-54140,-214708,128042
-53735,-214945,128233
-53547,-215488,128339
-53176,-216033,128700
-52850,-216738,128230
-52788,-217187,127306
-52560,-217314,126614
-52607,-217859,126105
-52648,-218894,126585
-52673,-219881,127684
-52844,-220120,127531
-53062,-220293,126917
-53179,-220200,126243
-53451,-220329,126205
-53915,-220227,126232
-54102,-220223,126107
-54506,-219876,126098
-54827,-219723,125975
-55145,-219593,126403
-55337,-219376,126470
-55371,-219119,126116
-55564,-218817,125797
-55863,-218705,126164
-55859,-218647,126521
-56215,-218445,126563
-56403,-218075,126313
-56761,-217565,126228
-56962,-217100,126311
-57013,-216659,126010
-57034,-216195,125969
-57173,-215660,125647
-56995,-215280,125226
-56976,-215032,125089
-57048,-215074,124899
-56711,-215314,124946
-56575,-215372,124664
-56463,-215404,124626
-56469,-215486,124743
-56509,-215626,125131
-56391,-215613,125219
-56469,-215471,125226
-56467,-215382,125413
-56524,-215697,125599
-56611,-216108,125781
-56644,-216466,125668
-56851,-216795,125926
-56885,-217225,126312
-56905,-217561,126796
-57016,-217867,127285
-57078,-217959,127048
-56978,-217922,126863
-56825,-217914,126726
-57110,-217727,126958
-57053,-217673,126900
-57192,-217262,126690
-57414,-216780,126741
-57100,-216541,127275
-56979,-216166,128227
-56848,-216224,129045
-56959,-216332,128410
-57439,-215495,124295
-56517,-214563,122835
-56766,-215803,128324
-57188,-216417,130138
-58430,-217470,131567
-59660,-218177,129408
-60051,-218382,126263
-57663,-217605,125460
-56845,-217165,127376
-56465,-214809,124546
-56975,-214530,122954
-57319,-214713,123016
-57445,-215284,124399
-57562,-215501,125586
-57468,-215894,125049
-57735,-216080,124986
-58097,-216082,125293
-58462,-216003,125457
-58551,-215910,125275
-58582,-215511,125094
-58386,-215357,124995
-57858,-215199,125066
-57696,-215300,124985
-57189,-215336,124933
-57008,-215634,124463
-56497,-216198,124559
-56585,-216477,124564
-56421,-216902,124667
-56372,-217136,124703
-56315,-217515,125006
-56330,-217571,124861
-56414,-217721,124803
-56732,-217804,124929
-56841,-217666,125341
-57084,-217390,124881
-57528,-216755,124290
-57675,-216505,124454
-57875,-216521,124351
-57743,-216404,124437
-57733,-216558,124150
-57653,-216625,124477
-57331,-216786,124458
-57217,-216762,124597
-56758,-216436,124623
-56555,-216306,124776
-56571,-216183,124836
-56824,-216162,124950
-57024,-216245,124929
-57029,-216197,125325
-57044,-216359,125489
-56933,-216541,125855
-57141,-216889,125803
-57224,-217029,125611
-57203,-217067,125477
-57171,-217276,125528
-57146,-217358,125519
-57377,-217750,125764
-57561,-217457,125039
-57668,-217639,125669
-57517,-217379,126100
-57225,-217651,127568
-57104,-217211,127315
-56775,-216953,125935
-56347,-216447,124449
-56192,-216270,123756
-55905,-215983,123668
-55737,-215969,123890
-55816,-215921,124196
-56037,-215832,124883
-56346,-215813,125311
-56720,-215749,125544
-57030,-215731,125634
-57410,-215794,125437
-57768,-215889,125334
-57916,-216232,125642
-57968,-216238,125755
-57812,-216421,125686
-57585,-216637,125526
-57370,-216494,125252
-57061,-216407,125091
-56600,-216384,125470
-56549,-216393,125188
-56404,-216483,125000
-56420,-216378,124842
-56129,-216376,124873
-56133,-216436,124562
-55955,-216664,124785
-56054,-216670,124873
-55960,-217074,124839
-55863,-216967,124672
-56112,-217003,124645
-56057,-216950,124656
-56193,-216951,124903
-56147,-216795,125026
-56220,-216648,124888
-56298,-216697,124695
-56437,-216436,124943
-56390,-216357,125122
-56273,-216082,125205
-56554,-216026,125259
-56495,-216091,125033
-56918,-216393,125736
-56990,-216552,125672
-56954,-216622,125902
-56950,-216585,125875
-56726,-216577,125702
-56793,-216583,125735
-56689,-216494,125405
-56471,-216397,125403
-56380,-216255,125215
-56424,-216173,124981
-56308,-216210,124850
-56064,-216270,125024
-55892,-216125,124719
-55724,-216248,124821
-55494,-216318,124563
-55352,-216510,124807
-55151,-216583,124964
-55146,-216745,125053
-54957,-216778,125263
-54830,-216768,125352
-54937,-216638,125447
-55203,-216700,125277
-55443,-216449,125328
-55760,-216515,125534
-56025,-216756,126255
-56126,-216547,126240
-56443,-216220,125820
-56575,-216088,125149
-56823,-215941,124931
-57082,-216041,125157
-57063,-216111,125989
-56701,-216183,126672
-56421,-216481,127480
-56262,-216885,126606
-56191,-215912,122224
-55582,-214253,117544
-54317,-213834,117863
-53997,-214328,122558
-54726,-215615,128668
-56275,-216898,131632
-57947,-217778,130589
-58577,-217843,129024
-58805,-217637,125038
-57408,-217098,123796
-56034,-216901,124933
-55555,-216552,125922
-54795,-215893,127785
-54163,-215592,128273
-54367,-215352,127178
-54766,-215030,124915
-55329,-215189,123242
-55726,-215811,123221
-55809,-216827,125182
-55848,-217277,126115
-56101,-217441,126018
-56328,-217216,125717
-56590,-217003,125523
-57094,-216596,125504
-57327,-216384,125292
-57373,-215809,125097
-57293,-215501,125347
-57092,-215397,125530
-56560,-215521,125739
-56320,-215479,125713
-56174,-215763,125510
-55865,-216118,125088
-55753,-216458,125125
-55543,-217042,125058
-55629,-217419,125246
-55545,-217820,125530
-55621,-218017,125540
-55857,-218103,125833
-56102,-218126,126052
-56231,-217868,125938
-56258,-217405,125614
-56578,-217097,125203
-56609,-216871,124620
-56631,-216627,124582
-56783,-216550,124729
-56818,-216533,124503
-56765,-216529,124605
-56526,-216772,124617
-56372,-216968,124764
-56262,-216957,124880
-55940,-217007,124477
-55783,-216886,124463
-55636,-216748,124350
-55556,-216651,124647
-55296,-216307,124671
-55451,-215994,124575
-55344,-215697,124451
-55536,-215578,124378
-55520,-215485,124409
-55761,-215653,124574
-56060,-216010,125007
-56019,-216245,125293
-56196,-216566,125284
-56518,-216939,125457
-56780,-216960,125446
-56841,-217102,125390
-56971,-217029,125440
-57243,-216917,125531
-57307,-217018,125151
-57535,-216647,124672
-57434,-217192,125316
-56922,-217051,127343
-56892,-217063,127563
-56486,-217048,126948
-56194,-216653,125226
-56045,-216760,124105
-55811,-217073,123747
-55761,-217120,123592
-55880,-217345,124164
-55855,-217256,124685
-55740,-217317,125522
-55938,-217148,125787
-56152,-216733,125864
-56582,-216255,125614
-56790,-215987,125787
-57199,-215780,125343
-57012,-215524,125436
-56973,-215561,125595
-56695,-215571,125321
-56378,-215613,125203
-56171,-215788,125013
-56137,-216094,125048
-56037,-216335,125154
-55872,-216712,125026
-55571,-217031,125166
-55394,-217263,125150
-55390,-217388,125046
-55413,-217431,124795
-55477,-217321,124810
-55608,-217407,124838
-55697,-217531,124938
-55976,-217528,124732
-56228,-217681,124280
-56376,-217849,124467
-56494,-217955,124864
-56709,-217907,124908
-56902,-217823,124898
-57291,-217676,124915
-57475,-217467,125179
-57657,-217189,125371
-57652,-217122,125345
-58116,-216914,125546
-58334,-216484,125641
-58318,-216138,125570
-58536,-216007,125880
-58517,-215679,126015
-58598,-215485,125952
-58508,-215072,125852
-58200,-214492,125360
-57819,-214375,125316
-57101,-214524,125200
-56975,-214588,125269
-56757,-214796,125141
-56450,-215057,125049
-56283,-215086,125068
-56119,-215370,125217
-55876,-215693,125208
-55864,-215738,125314
-55767,-215553,125436
-55571,-215577,125524
-55563,-215540,125767
-55508,-215842,125693
-55568,-216074,125696
-55703,-216402,125871
-55740,-216734,125832
-56007,-217017,125700
