247,-225473,120617
57,-225241,121345
-65,-225644,122554
341,-226011,124321
678,-226022,124699
920,-226132,124911
785,-226030,124617
724,-226061,123699
699,-225862,122572
742,-225576,121559
825,-225162,121724
740,-224930,122953
582,-225167,124338
414,-225383,123920
148,-225682,122996
52,-225966,122606
87,-226164,122696
229,-226149,123025
244,-225886,123117
250,-225529,123552
352,-225166,124014
251,-224639,124223
136,-224462,124304
4,-224149,124138
70,-224219,123948
-173,-224178,123770
-35,-224144,123621
202,-224141,123367
423,-224240,123059
895,-224270,123226
1031,-224393,123118
1435,-224551,123372
1676,-225099,123466
1631,-225309,123492
1835,-225507,123423
1705,-225786,123611
1662,-225665,123615
1518,-225646,123592
1278,-225427,123458
925,-225107,123316
645,-224974,123526
555,-224612,123496
464,-224652,123368
267,-224482,123431
245,-224454,123447
273,-224550,123275
126,-224595,123195
33,-224571,123236
74,-224629,123424
87,-224635,123600
239,-224791,123489
437,-224886,123707
660,-225112,123587
774,-225056,123677
855,-225300,123522
985,-225254,123269
1138,-225128,123163
866,-225117,123134
968,-225019,122878
998,-225193,123508
845,-224983,123765
972,-225077,123664
1007,-225045,123610
1015,-224927,123901
802,-224706,123811
675,-224744,123903
322,-224511,123813
42,-224283,123951
-87,-224422,123959
-99,-224391,124077
-246,-224294,124397
-16,-224327,124110
133,-224246,124156
185,-224279,123873
11,-224253,123416
110,-224134,122366
-3752,-224197,122395
-3081,-224163,122099
-3170,-224300,122150
-2817,-224491,122219
-2049,-3497,122002
-2063,-3698,121869
-2135,-225096,121818
-2049,-200495,121959
-2049,-3810,122115
-2057,-3845,122374
-2890,-224837,122658
-3129,-224796,123216
211,-225042,123668
66,-225050,123709
-365,-225040,124151
-770,-225249,124276
-992,-225259,124035
-1410,-225318,123959
-1299,-225309,124108
-1540,-225273,124009
-1671,-225305,123833
-1590,-225358,123795
-1672,-225309,123423
-1503,-225335,123686
-958,-225284,124913
-748,-225433,125739
-353,-225872,127387
-193,-225801,125399
-645,-225193,121035
-694,-224502,118760
-69,-223606,118612
565,-223042,120768
852,-222887,124707
864,-223561,127882
41,-223750,124951
-773,-223579,121186
-913,-223440,121141
-127,-223981,124867
1139,-224348,128148
2073,-224467,128620
2150,-224359,127717
1602,-224155,125730
1063,-224244,124757
651,-224423,124738
684,-224629,125196
701,-224828,125085
622,-224881,124207
517,-224746,122457
116,-224396,122027
-234,-224232,122079
-458,-224177,122664
-938,-223878,123092
-1216,-223846,123585
-1534,-223813,124127
-1646,-224020,124316
-1709,-223989,124360
-1658,-224335,124247
-1543,-225030,123663
-1059,-225639,123233
-959,-225904,123302
-613,-226502,122610
-1,-227259,122884
430,-227678,123041
752,-228105,123133
900,-228243,123368
939,-228488,123529
337,-228094,123360
52,-227730,122898
-518,-226995,122730
-898,-226397,122792
-1429,-225656,122880
-1847,-224804,122867
-2307,-223953,122702
-2057,-223332,122627
-3073,-9,122395
-3073,-198198,122147
-3088,-222467,122216
-9,-1,121852
-2049,-13,121969
-2049,-9,122294
-13,-1,122468
-1,-1,122540
-1,-1959,122735
-9,-223598,122638
-3593,-223930,122636
532,-224173,122617
-3125,-224436,122732
-3073,-224533,122595
-3081,-3518,122306
-3533,-224833,122061
-3586,-200297,122064
-3943,-224949,121116
-53,-224939,120225
-195,-225358,121373
-79,-225857,122951
203,-226468,124534
207,-226463,124364
573,-226948,124755
653,-227057,124358
828,-227111,123149
1084,-226869,121725
1463,-226530,120844
1924,-226184,121140
2028,-226095,122460
2089,-226346,123348
1867,-226542,123716
1609,-226946,122973
1359,-227243,122141
1229,-227261,121858
850,-227119,122156
817,-226879,122682
713,-226368,123234
366,-225953,123886
179,-225483,123768
-169,-225259,123884
-469,-225114,124032
-474,-224982,123964
-662,-224942,123768
-713,-224760,123305
-414,-224760,123155
-138,-224930,123131
285,-224965,123490
692,-225123,123319
1012,-225282,123834
1227,-225505,123722
1281,-225654,123621
1354,-225794,123728
1362,-225752,123530
1325,-225451,123408
1261,-225455,123481
1203,-225216,123431
994,-224954,123301
944,-224750,123349
635,-224516,123102
422,-224293,123081
316,-224308,123326
-78,-224675,123277
-146,-225018,123340
-86,-225020,123311
113,-225210,123463
194,-225414,123211
420,-225398,122998
670,-225549,123204
600,-225441,123113
593,-225455,123240
473,-225607,123116
584,-225573,122944
553,-225503,123244
492,-225512,123242
307,-225621,123491
40,-225659,123343
77,-225680,123089
-199,-225654,123277
-192,-225845,122934
-84,-225652,122800
-201,-225847,122831
-1,-13,122938
-251,-226024,122629
-1,-13,131057
-9,-13,122421
-13,-1,130809
-13,-13,122916
-14,-225873,122769
86,-225636,122770
-105,-225509,122651
-113,-225481,122641
-1,-16,122665
-1,-11,122542
-270,-225199,122447
-1,-3848,122101
-1,-3973,121955
-1,-3586,121736
-1,-3841,121570
-16,-224808,121371
-15,-224955,121368
-349,-224896,121251
-252,-225004,121223
-224,-224906,121481
-214,-225018,121291
-197,-225022,121355
-64,-225089,121323
-146,-225076,121387
-12,-225167,121402
-91,-225385,121775
-1,-1,122097
-149,-225874,122254
-1,-667,122292
-4065,-226102,122253
-14,-226301,121883
214,-226260,121814
-3880,-226219,121693
-3756,-226376,121730
-3692,-226417,121676
341,-226344,121729
-3622,-226341,122047
-3488,-226636,123297
785,-226636,124141
761,-226977,123836
699,-226181,118707
-3500,-225315,116146
1521,-224447,116824
-1807,-224080,119062
2408,-223985,122256
1911,-224561,125053
-3221,-225576,126399
-1,-1,124275
-1085,-226151,121658
-1,-1,130942
-3981,-225807,122490
-2059,-225161,123496
2571,-224790,124300
2929,-224641,123982
2028,-224848,123757
979,-225283,124290
115,-226041,125366
-1,-12,125044
-795,-226894,123657
-9,-226986,121941
-1,-9,121100
-13,-15,120960
