-29803,46823,252656
-29920,46749,252723
-29653,46788,252575
-29674,46836,252670
-29440,47010,252740
-29524,47028,252862
-29452,47191,252762
-29587,47094,252836
-29545,47264,253186
-29866,47444,253529
-29927,47449,253479
-30047,47446,253318
-30125,47361,253518
-29932,47283,253586
-29718,47208,253617
-29580,47249,253693
-29287,46855,253711
-29141,46621,253892
-29112,46567,253873
-29053,46476,253822
-29019,46348,253968
-29055,46199,254285
-29137,46270,254729
-29272,46202,254890
-29441,46449,253752
-29689,46646,254394
-30247,46014,253657
-30283,46032,253888
-30436,45802,254314
-30354,45821,254435
-30332,45746,254396
-30311,45708,253925
-30222,45622,253448
-30231,45466,253464
-29767,45525,253195
-29609,45582,253417
-29321,45643,253492
-29064,45817,253653
-28721,46154,253608
-28516,46333,253905
-28391,46693,253547
-28106,47009,253691
-28107,47337,253622
-28100,47385,253712
-28015,47501,253839
-28296,47545,254193
-28353,47374,254271
-28662,47333,253701
-29092,47066,253463
-29329,46846,253268
-29389,46530,253351
-29511,46182,253348
-29562,45984,253000
-29489,45752,253186
-29114,45831,253567
-28584,45857,254611
-28723,45968,255080
-28570,45779,255563
-29090,46045,252796
-29396,46750,249730
-29617,46910,249227
-29603,47028,250671
-29752,47136,254084
-30463,47388,256189
-31234,47571,256078
-31696,47660,254799
-31485,47988,253359
-30593,48393,251307
-29736,48443,251278
-29322,48253,252971
-29206,48097,254699
-29533,48053,255348
-30335,47917,254291
-30954,48026,253220
-31347,47501,253356
-31394,46821,251160
-30847,46044,255520
-30434,45403,255604
-30239,44938,255204
-30351,44474,254209
-30370,44237,253390
-30481,44063,252692
-30420,43959,252676
-30061,43710,253208
-29990,43474,253495
-29571,43559,253690
-29176,43612,253735
-28953,43688,253714
-28674,43830,253684
-28606,44127,253693
-28793,44379,253755
-29238,44351,254127
-29564,44601,254102
-29953,44848,253850
-30257,45122,253632
-30394,45287,253782
-30432,45698,253734
-30534,45774,253700
-30454,46116,253853
-30574,46449,253745
-30418,47028,253724
-30570,47079,253706
-30547,47153,253729
-30707,47341,253603
-30646,47384,253821
-30619,47419,253884
-30444,47471,253780
-30422,47344,253932
-30201,47523,254136
-30297,47338,254258
-30111,47520,253952
-30126,47517,253741
-30100,47243,253494
-29936,47196,253643
-29804,46893,253692
-29603,46932,253359
-29492,46841,253395
-29178,46630,253338
-29090,46483,253247
-29166,46313,253027
-29141,46196,253052
-29173,46199,253186
-29157,46267,253074
-29242,46246,253598
-29259,46456,253956
-29278,46492,254148
-29271,46632,253723
-29355,46498,253400
-29737,46190,253294
-29865,45950,253075
-30221,45898,253266
-30344,45773,253358
-30279,45616,253872
-30344,45575,254031
-30236,45689,254001
-30085,45719,253632
-30064,45739,253570
-29866,45895,253612
-29879,46045,253570
-29661,46234,253536
-29585,46391,252811
-29696,46167,252618
-29444,46299,252912
-29275,46025,253813
-29159,45907,254295
-29434,45657,253427
-29832,45931,252614
-30472,46067,252183
-30830,46268,252051
-30846,46433,252340
-30790,46531,252539
-30400,46651,253075
-30452,46774,253640
-30101,46846,254628
-30217,46687,255101
-30415,46598,254987
-30690,46506,254618
-30804,46162,254038
-31190,45718,253976
-31136,45732,254089
-31070,45604,254071
-30979,45537,254113
-31000,45573,254115
-30871,45394,253820
-30875,45307,253791
-31144,44982,254008
-31218,44926,254327
-31455,45069,254365
-31514,45217,254316
-31585,44998,254015
-31488,44875,254057
-31176,44931,254071
-30887,44694,254358
-30488,44802,254239
-30135,44851,254161
-29735,44779,253890
-29223,44838,253770
-28840,45171,253547
-28589,45327,253161
-28628,45693,253175
-28426,45920,253694
-28502,46095,253815
-28761,46280,253822
-28778,46505,253609
-29122,46644,253535
-29335,46810,253574
-29595,47131,253466
-29854,47197,252991
