-70374,-243720,20389
-70163,-243557,19690
-69705,-244020,20497
-69022,-244844,22832
-69422,-245790,22436
-69862,-246781,22591
-70365,-247133,22505
-70118,-247404,23150
-69958,-247499,23659
-69370,-247373,23809
-68814,-247542,24143
-68552,-247721,24534
-68498,-248041,24662
-68787,-248158,24775
-69002,-247754,24925
-69507,-246858,24821
-70430,-246065,24573
-70687,-245192,24464
-70792,-244882,24587
-71097,-244273,24447
-71110,-243404,24116
-70962,-243164,24012
-70259,-242623,23850
-69485,-242149,23376
-69103,-241686,22772
-68652,-241744,22737
-68515,-242508,22861
-68071,-242797,22796
-67470,-243893,23122
-67411,-244394,23215
-67448,-245043,23539
-67514,-245210,23531
-67476,-245365,23696
-67345,-245633,23557
-66941,-245718,23680
-66929,-245942,23558
-67274,-246103,23299
-67598,-245680,23510
-67771,-245643,23551
-68250,-245631,23623
-68768,-245469,23709
-69069,-244898,23722
-69207,-244157,23662
-69948,-243799,23455
-70305,-243405,23505
-70045,-243154,23747
-69784,-242900,23809
-69277,-243148,23977
-69036,-243449,23602
-69030,-243768,23575
-68772,-243704,23662
-68696,-243449,23912
-68380,-243579,24173
-68104,-244119,24182
-68215,-244422,23971
-68136,-244707,24227
-67871,-245235,24326
-68000,-246005,25166
-68311,-246245,25302
-68736,-246423,24350
-69673,-246013,23399
-68781,-246631,24428
-68895,-246566,24363
-69821,-245596,22361
-69674,-244886,23022
-69327,-244642,23783
-69172,-244052,23101
-69169,-243769,22575
-68545,-242717,22166
-68216,-242509,23454
-68202,-242701,24823
-68338,-243242,25665
-68994,-243985,24961
-69664,-244392,23998
-69900,-244328,23359
-70315,-244167,22995
-69957,-243990,23376
-68490,-244251,24470
-68497,-244856,24191
-68505,-245450,23923
-69078,-245726,24140
-69254,-246041,24111
-69694,-246748,24225
-69269,-246371,24362
-68665,-245712,24297
-68247,-245081,24666
-68004,-244831,24577
-67843,-244660,24404
-67651,-244478,24397
-67289,-244209,24624
-67197,-244065,24490
-66879,-244089,24797
-66464,-244031,24895
-66560,-243926,24782
-66604,-244414,25144
-66557,-244808,24741
-67153,-245715,24039
-67869,-246028,23855
-68610,-246485,24002
-69632,-246695,24110
-69813,-246493,23949
-70105,-246338,24121
-70422,-246148,23758
-70173,-245826,23940
-70024,-245319,23845
-69768,-244735,24119
-69452,-243811,24049
-69445,-243492,24108
-69672,-243418,24308
-69496,-243177,24276
-69192,-243246,24291
-68909,-243306,24094
-68603,-243245,24659
-68433,-243077,24550
-68487,-243171,24609
-68117,-243570,24672
-67557,-243759,24562
-67600,-244120,24355
-67396,-244612,24333
-67836,-245366,24457
-68145,-246087,24467
-67505,-246458,24246
-66980,-246737,24359
-66598,-246627,24088
-67138,-246489,24325
-67775,-246487,24595
-67427,-245345,24262
-67156,-244918,24324
-66996,-244437,23912
-67214,-243687,23683
-67551,-242962,23702
-67653,-243012,24052
-67867,-243275,24269
-68208,-243697,24297
-68552,-243698,24429
-68795,-243566,24452
-69032,-243422,24761
-69557,-243705,24536
-69396,-243885,24908
-69146,-244155,25256
-68554,-244320,25162
-68269,-245267,24872
-68307,-245281,24481
-68512,-245686,24504
-68829,-245836,24307
-69003,-246059,24630
-69095,-245940,24588
-69037,-245336,24376
-69503,-245071,24171
-69662,-244753,24310
-69860,-244806,24685
-69941,-244672,24823
-70023,-244599,25008
-69928,-244662,24935
-69896,-244644,24942
-69905,-244546,24681
-69737,-244531,24288
-69788,-244470,24374
-69997,-244472,24397
-69845,-244513,24395
-69671,-244634,24220
-69693,-244902,24007
-69359,-244987,23993
-69237,-244923,23995
-68552,-244702,23623
-67854,-244613,23763
-67209,-244924,23304
-66983,-244854,22899
-67152,-244924,22665
-67415,-244909,22871
-67421,-244886,22848
-67026,-244762,22911
-66485,-244839,22495
-66402,-245290,22183
-66932,-245446,22294
-67514,-244970,23139
-68029,-244604,23887
-68254,-244548,24082
-68727,-244560,23740
-69166,-244091,23011
-69675,-243895-68284,-248372,20773
-68850,-248816,21060
