Time,Amplitude,Feature
0.0,-0.0007345423728735625,-1
0.004,-0.000729215647470883,-1
0.008,-0.0007132708394983005,-1
0.012,-0.0007101007540513013,-1
0.016,-0.0006766539444380074,-1
0.02,-0.0006471836836770151,-1
0.024,-0.0006118372038712194,-1
0.028,-0.0005490179401483761,-1
0.032,-0.0004902367515815095,-1
0.036,-0.0004349533844268488,-1
0.04,-0.0003695494020457441,-1
0.044,-0.0002920804771986331,-1
0.048,-0.000208952064472595,-1
0.052,-0.00014219345200915177,-1
0.056,-0.00010050392956608397,-1
0.06,-0.00004163327882348949,-1
0.064,0.00004516887392560058,-1
0.068,0.00012337328634116272,-1
0.072,0.00019779052946539803,-1
0.076,0.0002607214506621782,-1
0.08,0.00027675055049251976,-1
0.084,0.00031653494716954125,-1
0.088,0.0003734007438387252,-1
0.092,0.00035855601850895126,-1
0.096,0.00033993171154997803,-1
0.1,0.00036011872780641104,-1
0.104,0.00039787045093615136,-1
0.108,0.0004895417243708346,-1
0.112,0.0006131872903534818,-1
0.116,0.0006995259538337898,-1
0.12,0.000755661813506808,-1
0.124,0.0007794605461814022,-1
0.128,0.0007823399620633664,-1
0.132,0.0008457928078217802,-1
0.136,0.0009373687481339991,-1
0.14,0.000985995098284047,-1
0.144,0.0010052411095628382,-1
0.148,0.0009782298363090719,-1
0.152,0.0009146015215762424,-1
0.156,0.0008731830289963678,-1
0.16,0.000836445594893622,-1
0.164,0.0008040964254448444,-1
0.168,0.0007783534953906627,-1
0.172,0.0006879075600311264,-1
0.176,0.0005137800802648685,-1
0.18,0.0002941098201748717,-1
0.184,0.00006463506169779536,-1
0.188,-0.00017231465965892865,-1
0.192,-0.0004212564058989489,-1
0.196,-0.0006784285874103711,-1
0.2,-0.0008964298682636667,-1
0.204,-0.0010021402030058746,-1
0.208,-0.0010157673214764031,1
0.212,-0.0009346076649821797,-1
0.216,-0.0006715921449204307,-1
0.22,-0.00020535109246119803,-1
0.224,0.0003910262546476028,-1
0.228,0.001077193677071592,-1
0.232,0.0018026590600736117,-1
0.236,0.002449074695573497,-1
0.24,0.002928146266826653,-1
0.244,0.0031257927321064333,2
0.248,0.0030309058864178917,-1
0.252,0.002719042203571549,-1
0.256,0.0022512764598819584,-1
0.26,0.0017539583260638848,-1
0.264,0.001278886901282077,-1
0.268,0.0008711648422538821,-1
0.272,0.0006538837689017223,3
0.276,0.000780221738031362,-1
0.28,0.0015667336501120393,-1
0.284,0.003009157459328712,4
0.288,0.0023633893492003353,-1
0.292,-0.00488147836715437,-1
0.296,-0.01660378103972589,-1
0.3,-0.022637399176435955,0
0.304,-0.016170987770763683,-1
0.308,-0.0009235869738243697,-1
0.312,0.012813990287612318,-1
0.316,0.01737876056318251,5
0.32,0.013417138580664081,-1
0.324,0.0060710502663744986,-1
0.328,-0.0003142382676111533,-1
0.332,-0.003586069078882488,-1
0.336,-0.003831564261538517,6
0.34,-0.001892494843985157,-1
0.344,0.0014294227214598743,-1
0.348,0.004696266662235273,-1
0.352,0.005850024473773733,7
0.356,0.0038199667130987174,-1
0.36,0.00010851984543906101,-1
0.364,-0.0025183659913831373,-1
0.368,-0.0028861750726350425,8
0.372,-0.0021058581993072464,-1
0.376,-0.0016413133840689855,9
0.38,-0.0016911912060392329,10
0.384,-0.0016260658590305835,-1
0.388,-0.0012473799165238443,-1
0.392,-0.0009300841926545062,11
0.396,-0.0009560248899849681,-1
0.4,-0.0012026165050422726,-1
0.404,-0.0013468058020336927,12
0.408,-0.0012816636299559157,-1
0.412,-0.0011030145967556178,-1
0.416,-0.0008199561200250408,-1
0.42,-0.0003548785283026955,-1
0.424,0.00030850600339300946,-1
0.428,0.0010069780958972565,-1
0.432,0.001544987200139376,-1
0.436,0.0017954414707965249,-1
0.44,0.0016769184742617003,-1
0.444,0.00126345897400318,-1
0.448,0.0006305383446768018,-1
0.452,-0.0001697975927991274,-1
0.456,-0.0010214011724345763,-1
0.46,-0.0018592978720882976,-1
0.464,-0.0026338495695290465,-1
0.468,-0.0032392798706969857,-1
0.472,-0.0035955537892087344,-1
0.476,-0.003710116732022359,-1
0.48,-0.0036390266677210404,-1
0.484,-0.0034581228563762183,-1
0.488,-0.0032192597240133934,-1
0.492,-0.002916105022780731,-1
0.496,-0.002563558970227682,-1
0.5,-0.0021863591863214185,-1
0.504,-0.0017855559018631682,-1
0.508,-0.0014037950718398518,-1
0.512,-0.0010870973420811735,-1
0.516,-0.0008075645978511417,-1
0.52,-0.0005144838869264477,-1
0.524,-0.0002236888969505617,-1
0.528,0.00003091539099501906,-1
0.532,0.00024939866325638006,-1
0.536,0.00042014855803628706,-1
0.54,0.0005609706315211751,-1
0.544,0.0006963733179743797,-1
0.548,0.0008166596668394847,-1
0.552,0.0009480402130033338,-1
0.556,0.0011098634313809637,-1
0.56,0.0012820934643513206,-1
0.564,0.0014718357316852756,-1
0.568,0.00168419818567375,-1
0.572,0.0018582216554192481,-1
0.576,0.0019796154469233305,-1
0.58,0.00208854099747616,-1
0.584,0.0022020954509045566,-1
0.588,0.0023169443341964687,-1
0.592,0.002362628365616339,-1
0.596,0.0023619027569899364,-1
